--- Extraction Run Started: 2026-07-16 11:22:08.876418 ---
Input File: linkedin_fresher_data_analyst_jobs_merged.csv (913 rows)
Target Column: Required Skills

Row 1: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066596 | No valid email addresses found in text
Row 153: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/airbrick-chief-business-officer-cbo-15-0-yrs-at-etcio-cloud-data-center-4431652320 | No valid email addresses found in text
Row 154: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/product-category-specialist-at-clickforge-4431470122 | No valid email addresses found in text
Row 155: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-service-delivery-manager-ams-at-epam-systems-4424874889 | No valid email addresses found in text
Row 156: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/email-marketing-manager-at-angara-ecommerce-pvt-ltd-4433087309 | No valid email addresses found in text
Row 157: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/performance-management-specialist-at-%E0%A4%B8%E0%A4%BE%E0%A4%A6%E0%A4%BE-saadaa-4419068069 | No valid email addresses found in text
Row 158: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/chief-platform-architect-%E2%80%93-digital-construction-management-dcm-at-zealant-consulting-group-4432188588 | No valid email addresses found in text
Row 159: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/databricks-architect-data-engineering-at-bot-consulting-4435356563 | No valid email addresses found in text
Row 160: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/growth-marketer-web-analyst-at-clickforge-4373040868 | No valid email addresses found in text
Row 161: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/agentic-ai-engineer-assistant-vice-president-vice-president-at-icapital-4419815914 | No valid email addresses found in text
Row 162: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-transformation-senior-manager-at-accenture-in-india-4424780841 | No valid email addresses found in text
Row 163: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/digital-marketing-internship-in-jaipur-at-emiac-technologies-4437492745 | No valid email addresses found in text
Row 164: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/databricks-architect-at-bot-consulting-4426575289 | No valid email addresses found in text
Row 165: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-operation-lead-at-r3-consultant-4386496336 | No valid email addresses found in text
Row 166: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/lead-engineer-ai-at-auriga-it-4436407297 | No valid email addresses found in text
Row 167: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/application-support-engineer-at-accenture-in-india-4433365533 | No valid email addresses found in text
Row 168: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-data-engineer-jaipur-india-at-thoughtswin-4432670123 | No valid email addresses found in text
Row 169: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/search-engine-optimization-specialist-at-satnam-webtech-pvt-ltd-4427279561 | No valid email addresses found in text
Row 170: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-transformation-specialist-at-accenture-in-india-4429890616 | No valid email addresses found in text
Row 171: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-technical-recruiter-at-nav-fund-services-4438154559 | No valid email addresses found in text
Row 172: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/digital-marketing-specialist-at-%E0%A4%B8%E0%A4%BE%E0%A4%A6%E0%A4%BE-saadaa-4416737903 | No valid email addresses found in text
Row 173: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/in-senior-associate-digital-initiatives-igt-citizen-and-business-services-advisory-jaipur-at-pwc-india-4361321135 | No valid email addresses found in text
Row 174: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/conversion-rate-optimization-cro-specialist-at-%E0%A4%B8%E0%A4%BE%E0%A4%A6%E0%A4%BE-saadaa-4413038163 | No valid email addresses found in text
Row 175: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/hrbp-at-%E0%A4%B8%E0%A4%BE%E0%A4%A6%E0%A4%BE-saadaa-4422872466 | No valid email addresses found in text
Row 176: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/databricks-architect-big-data-platform-at-bot-consulting-4400666085 | No valid email addresses found in text
Row 177: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/teaching-assistant-at-hsb-hari-shankar-singhania-school-of-business-4422280381 | No valid email addresses found in text
Row 178: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/in-senior-associate-oracle-pl-sql-apptech-advisory-jaipur-at-pwc-india-4435858052 | No valid email addresses found in text
Row 179: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/habilelabs-manager-%E2%80%93-iot-product-marketing-sales-10-0-yrs-at-etcio-cloud-data-center-4431397475 | No valid email addresses found in text
Row 180: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343129336 | No valid email addresses found in text
Row 181: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343099537 | No valid email addresses found in text
Row 182: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343099555 | No valid email addresses found in text
Row 183: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343119370 | No valid email addresses found in text
Row 184: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343089501 | No valid email addresses found in text
Row 185: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343290029 | No valid email addresses found in text
Row 186: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343139246 | No valid email addresses found in text
Row 187: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343159193 | No valid email addresses found in text
Row 188: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343248925 | No valid email addresses found in text
Row 189: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343228909 | No valid email addresses found in text
Row 190: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343069685 | No valid email addresses found in text
Row 191: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-in-india-4343198967 | No valid email addresses found in text
Row 192: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-frontend-developer-at-satnam-webtech-pvt-ltd-4435050040 | No valid email addresses found in text
Row 193: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analytics-at-one-com-4401634448 | No valid email addresses found in text
Row 194: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analytics-at-extension-technologies-4142494519 | No valid email addresses found in text
Row 195: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-barclays-4433988573 | No valid email addresses found in text
Row 196: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/developer-ic-data-management-and-analytics-data-ops-data-analyst-at-exl-4319917978 | No valid email addresses found in text
Row 197: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-advanced-analytics-at-clearview-healthcare-partners-4417680010 | No valid email addresses found in text
Row 198: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-appinventiv-4434515125 | No valid email addresses found in text
Row 199: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analysis-at-exl-4342246167 | No valid email addresses found in text
Row 200: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-4415686962 | No valid email addresses found in text
Row 201: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291067264 | No valid email addresses found in text
Row 202: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/analyst-data-science-sql-python-genai-at-american-express-4436587062 | No valid email addresses found in text
Row 203: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-engineer-%E2%80%93-scg-india-at-scg-4298398443 | No valid email addresses found in text
Row 204: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analytics-analyst-at-natwest-group-4433879246 | No valid email addresses found in text
Row 205: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-at-pwc-india-4383482140 | No valid email addresses found in text
Row 206: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/ivms-analyst-at-thiess-4425495178 | No valid email addresses found in text
Row 207: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/westfield-data-analyst-at-exl-4364670100 | No valid email addresses found in text
Row 208: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-associate-arabic-alexa-shopping-operations-at-amazon-4426307758 | No valid email addresses found in text
Row 209: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-%E2%80%93-data-analyst-customer-success-visualization-coe-at-bain-company-4430750701 | No valid email addresses found in text
Row 210: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-operation-analyst-india-at-commure-4318287836 | No valid email addresses found in text
Row 211: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/research-analyst-icqa-icqa-at-amazon-4433537431 | No valid email addresses found in text
Row 212: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/bi-analyst-at-rockwell-automation-4436385058 | No valid email addresses found in text
Row 213: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/executive-data-analyst-platforms-at-macquarie-group-4423644005 | No valid email addresses found in text
Row 214: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/tableau-along-with-python-at-exl-4339329317 | No valid email addresses found in text
Row 215: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/product-analyst-at-noon-4435829862 | No valid email addresses found in text
Row 216: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/hseq-data-analytics-analyst-at-wsp-in-india-4421101589 | No valid email addresses found in text
Row 217: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-analyst-data-analytics-at-american-express-4434660128 | No valid email addresses found in text
Row 218: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-modeler-at-coforge-4433921934 | No valid email addresses found in text
Row 219: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/knowledge-analyst-service-operations-at-mckinsey-company-4435171559 | No valid email addresses found in text
Row 220: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-research-analyst-cargo-delhi-at-air-charter-service-4437022755 | No valid email addresses found in text
Row 221: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-lcnc-engineer-at-exl-4342216141 | No valid email addresses found in text
Row 222: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/hseq-data-analytics-analyst-at-wsp-in-india-4424516945 | No valid email addresses found in text
Row 223: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-digitalxnode-4408826399 | No valid email addresses found in text
Row 224: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-excel-remote-at-yo-it-consulting-4436019558 | No valid email addresses found in text
Row 225: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-%E2%80%93-data-ops-estimations-data-business-coe-at-bain-company-4427933819 | No valid email addresses found in text
Row 226: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/work-from-home-india-at-telus-digital-4426793524 | No valid email addresses found in text
Row 227: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-reporting-analyst-at-hcltech-4431939672 | No valid email addresses found in text
Row 228: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-associate-at-pwc-india-4362364289 | No valid email addresses found in text
Row 229: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/knowledge-analyst-minelens-at-mckinsey-company-4409439010 | No valid email addresses found in text
Row 230: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-data-analyst-at-scoutit-4437027158 | No valid email addresses found in text
Row 231: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-at-unitedlex-4304695624 | No valid email addresses found in text
Row 232: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-orbitouch-hr-orbitouch-outsourcing-pvt-ltd-4434855200 | No valid email addresses found in text
Row 233: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/specialist-payment-data-reporting-at-circle-k-4422874508 | No valid email addresses found in text
Row 234: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-makunai-global-4422513464 | No valid email addresses found in text
Row 235: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/operations-data-operations-associate-at-kkr-4402454314 | No valid email addresses found in text
Row 236: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-analyst-data-science-sql-python-gen-ai-at-american-express-4436591548 | No valid email addresses found in text
Row 237: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437772776 | No valid email addresses found in text
Row 238: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/assistant-manager-power-bi-at-kpmg-india-4431359104 | No valid email addresses found in text
Row 239: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437789137 | No valid email addresses found in text
Row 240: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437792012 | No valid email addresses found in text
Row 241: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-on-site-in-dubai-at-puffy-4432602290 | No valid email addresses found in text
Row 242: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437783344 | No valid email addresses found in text
Row 243: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437789066 | No valid email addresses found in text
Row 244: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437787140 | No valid email addresses found in text
Row 245: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437783342 | No valid email addresses found in text
Row 246: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-business-analyst-data-management-and-analytics-data-ops-data-analyst-at-exl-4339146811 | No valid email addresses found in text
Row 247: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-engineer-at-hcltech-4416492868 | No valid email addresses found in text
Row 248: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/4605084-assistant-manager-at-exl-4304155907 | No valid email addresses found in text
Row 249: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/reporting-analyst-at-hilti-india-4382706465 | No valid email addresses found in text
Row 250: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/asstt-manager-people-analytics-gssc-at-ericsson-4435556130 | No valid email addresses found in text
Row 251: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/analytics-and-modeling-associate-at-accenture-in-india-4430279602 | No valid email addresses found in text
Row 252: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/work-from-home-india-at-telus-digital-4432582278 | No valid email addresses found in text
Row 253: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-excel-remote-at-yo-it-consulting-4437718385 | No valid email addresses found in text
Row 254: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-engineer-specialist-at-google-operations-center-4429269241 | No valid email addresses found in text
Row 255: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-data-analyst-at-turing-4437791054 | No valid email addresses found in text
Row 256: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-engineer-at-exl-4338937305 | No valid email addresses found in text
Row 257: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/onboarding-specialist-at-paytm-4428326304 | No valid email addresses found in text
Row 258: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/lead-analytics-business-intelligence-at-exl-4342256289 | No valid email addresses found in text
Row 259: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/assistant-vice-president-core-analytics-at-exl-4431517332 | No valid email addresses found in text
Row 260: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-dataeconomy-4433323330 | No valid email addresses found in text
Row 261: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-thoucentric-4415993571 | No valid email addresses found in text
Row 262: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/marketing-data-scientist-at-google-4426794655 | No valid email addresses found in text
Row 263: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/in-senior-associate-junior-data-engineer-data-analytics-advisory-noida-at-pwc-india-4437144385 | No valid email addresses found in text
Row 264: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/4594082-senior-executive-at-exl-4313640464 | No valid email addresses found in text
Row 265: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-data-scientist-enterprise-reporting-at-circle-k-4436529087 | No valid email addresses found in text
Row 266: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-data-scientist-enterprise-reporting-at-circle-k-4395998184 | No valid email addresses found in text
Row 267: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/1970755-assistant-manager-at-exl-4304129738 | No valid email addresses found in text
Row 268: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-data-analyst-at-orange-business-4424090532 | No valid email addresses found in text
Row 269: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/3563235-senior-executive-at-exl-4304130696 | No valid email addresses found in text
Row 270: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/5035082-executives-at-exl-4320479432 | No valid email addresses found in text
Row 271: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-at-sopra-steria-4429956655 | No valid email addresses found in text
Row 272: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-engineer-at-vaynermedia-4366988585 | No valid email addresses found in text
Row 273: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-research-analyst-cargo-delhi-at-air-charter-service-4437018890 | No valid email addresses found in text
Row 274: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/intern-at-ingenious-e-brain-4294067386 | No valid email addresses found in text
Row 275: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/240151-assistant-manager-at-exl-4313637549 | No valid email addresses found in text
Row 276: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-e-commerce-at-luxasia-4412354827 | No valid email addresses found in text
Row 277: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-business-analyst-business-process-service-excellence-business-analyst-at-exl-4308943522 | No valid email addresses found in text
Row 278: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/area-manager-business-analysis-business-analyst-at-exl-4303027599 | No valid email addresses found in text
Row 279: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-visdum-4432647125 | No valid email addresses found in text
Row 280: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-nikahforever-4431475930 | No valid email addresses found in text
Row 281: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-clm-at-luxoft-india-4429768308 | No valid email addresses found in text
Row 282: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-gurgaon-india-at-dentsply-sirona-4427486785 | No valid email addresses found in text
Row 283: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-accenture-in-india-4382104521 | No valid email addresses found in text
Row 284: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-ic-at-exl-4343932891 | No valid email addresses found in text
Row 285: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-business-analyst-at-riskonnect-inc-4404317256 | No valid email addresses found in text
Row 286: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-one97-communications-limited-4435451143 | No valid email addresses found in text
Row 287: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-eliterecruitments-4436086285 | No valid email addresses found in text
Row 288: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-web-jeevan-4434333002 | No valid email addresses found in text
Row 289: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-hapz-software-solutions-pvt-ltd-4432336471 | No valid email addresses found in text
Row 290: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-business-analyst-at-innefu-labs-4429869217 | No valid email addresses found in text
Row 291: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-tech-%40-cloud-analogy-4346676621 | No valid email addresses found in text
Row 292: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-tech-%40-cloud-analogy-4413908842 | No valid email addresses found in text
Row 293: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-indus-valley-partners-4431659753 | No valid email addresses found in text
Row 294: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-stem-4435846404 | No valid email addresses found in text
Row 295: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-process-analyst-at-rockwell-automation-4436312587 | No valid email addresses found in text
Row 296: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-business-analyst-at-exl-4342206533 | No valid email addresses found in text
Row 297: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/workday-hcm-business-analyst-at-anaplan-4417082879 | No valid email addresses found in text
Row 298: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/manager-business-analyst-at-simfluent-4418191043 | No valid email addresses found in text
Row 299: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-tech-%40-cloud-analogy-4405804831 | No valid email addresses found in text
Row 300: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-fnz-4428946445 | No valid email addresses found in text
Row 301: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-business-analyst-i-delhi-i-mid-market-at-aditya-birla-capital-4418696207 | No valid email addresses found in text
Row 302: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-loan-lending-at-luxoft-4437748255 | No valid email addresses found in text
Row 303: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/eskadenia-business-analyst-requirements-alignment-change-management-at-m%C3%BCller-s-solutions-4432888708 | No valid email addresses found in text
Row 304: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-night-shift-at-webneed-4395435342 | No valid email addresses found in text
Row 305: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/customer-success-business-partner-financial-planning-analysis-fp-a-at-anaplan-4431662517 | No valid email addresses found in text
Row 306: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-business-analyst-at-turing-4438141433 | No valid email addresses found in text
Row 307: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/lead-research-analyst-global-capability-centers-gcc-at-avasant-4431799769 | No valid email addresses found in text
Row 308: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/oliver-wyman-business-analyst-sql-excel-hyderabad-or-gurugram-at-oliver-wyman-4394664340 | No valid email addresses found in text
Row 309: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-the-earth-store-4367167007 | No valid email addresses found in text
Row 310: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/business-analyst-at-tech-%40-cloud-analogy-4429572027 | No valid email addresses found in text
